epoch, lambda=0.001, lambda=0.0015, lambda=0.0022500000000000003, lambda=0.003375, lambda=0.0050625, lambda=0.00759375, lambda=0.011390625, lambda=0.0170859375, lambda=0.02562890625, lambda=0.038443359375, lambda=0.0576650390625, lambda=0.08649755859375
34, 0.12531341780391458, 0.11583503362387898, 0.11372150923537216, 0.12161331122202762, 0.1219567190350261, 0.11754569823203438, 0.11829262952605792, 0.13833727356624378, 0.14439442497143432, 0.1527642511013408, 0.1614503904136067, 0.1603028416554978
35, 0.12188749537331922, 0.114157428066877, 0.11276143110117047, 0.12063211362196528, 0.11772010466611382, 0.11728128902487582, 0.11974246921324333, 0.13637202789397332, 0.1442556555641422, 0.15334500369048198, 0.1630199521185707, 0.15978371259694157
36, 0.12092736551563506, 0.11297349509734622, 0.11105242085307465, 0.12006059990130706, 0.11545666634969066, 0.11513652963855482, 0.12068490574388137, 0.13670484284043752, 0.14482250824321893, 0.15286836223091022, 0.1600634378047352, 0.15952895342776927
37, 0.11790144320738571, 0.11189138148434169, 0.11003687162180126, 0.11726120094279203, 0.11506124973742916, 0.11382250787083015, 0.11807800889846548, 0.13576497543733732, 0.14549760258750988, 0.15426241241433095, 0.16164269904853898, 0.16348871582655772
38, 0.1182352647040721, 0.1104944291586721, 0.10765485218215949, 0.11480564299786582, 0.11373221830440385, 0.11216526218547863, 0.11897099865359484, 0.13509999322869973, 0.1457084339164382, 0.15405973304871576, 0.1588229481706954, 0.16243670329116874
39, 0.1137343012729623, 0.10924198626832211, 0.1053205741882187, 0.1132509959075128, 0.11530621748172225, 0.11306890444594675, 0.11848859949478124, 0.13485603737536045, 0.14573213495440682, 0.15229529292855673, 0.1598450664095248, 0.1637428340636848
40, 0.11249526931341042, 0.10817321103398815, 0.1035362866785947, 0.11223664244027433, 0.11155557271395844, 0.11404891820584634, 0.11622074482036841, 0.13514261870019634, 0.14479498772752988, 0.15214633960069276, 0.15924856263051435, 0.16125515500527882
41, 0.11030222098503113, 0.10595459321033522, 0.10205641404206213, 0.1129114058626474, 0.10952047483567118, 0.11319353278940546, 0.11924999338046566, 0.13457400682715862, 0.14473653352427826, 0.15210777784328908, 0.1571216029636945, 0.1602407974377882
42, 0.10857808645262142, 0.10399273541287345, 0.10169498894074101, 0.10934583489597739, 0.10816265823673321, 0.10830271815247076, 0.11767252537669563, 0.1334776484867005, 0.1464286779241614, 0.1517702624661819, 0.15689435583325365, 0.1599710291122925
43, 0.10750795399787749, 0.10228849650426229, 0.09875213558827649, 0.10992567722529052, 0.10732208132265807, 0.10576713836130798, 0.12101688079881563, 0.13308093066379814, 0.1456467762612359, 0.15056535375449548, 0.1581783378756488, 0.15923352265898122
44, 0.1032145156703453, 0.09982019426231827, 0.09769687677894746, 0.10817342727350095, 0.10646909102117723, 0.10523719866194559, 0.11810759057452118, 0.13375156460508922, 0.14468638678291582, 0.1507707784031581, 0.15842536641049307, 0.15911382785757308
45, 0.10122278607868439, 0.09844412481002096, 0.09443971493033537, 0.10941525892864239, 0.1046448449250481, 0.10392101903894597, 0.1165003687529746, 0.13274676183144055, 0.14362551221903325, 0.1517439599540593, 0.15976536892424498, 0.1590613277904827
46, 0.09906474158139207, 0.09600631311448099, 0.0922161228551824, 0.10829890990466882, 0.10122048624777504, 0.10613939876300699, 0.11779775070954462, 0.13474887306865194, 0.14588338123523373, 0.1509813066174194, 0.1581190448093905, 0.16090960837745313
47, 0.09729436303522514, 0.09454640711927169, 0.09079085308484051, 0.10010365222103489, 0.10017479706120415, 0.10357600418619543, 0.11923440799035594, 0.13198349490220163, 0.14465773717000838, 0.15062221704403805, 0.15780324350752026, 0.15828108597297605
48, 0.09510302969049643, 0.0930334663095218, 0.08861607772929943, 0.0984942823185017, 0.09735178478165823, 0.10484160747527282, 0.11349195983987297, 0.13182711916894804, 0.14489707419972161, 0.14916711051835624, 0.16315194740180844, 0.1608782584092661
49, 0.09351696331854409, 0.09067564173566452, 0.09269672185117601, 0.09723784402720764, 0.09471865992091259, 0.10192889361027159, 0.11366904223711977, 0.13171570963821674, 0.1439559509956829, 0.15031219892208134, 0.1651286402724264, 0.1602605263919589
50, 0.09135144339369096, 0.08806313017663574, 0.08319609179483349, 0.09671622305226923, 0.09637327204151053, 0.10032239185090486, 0.11965048688127831, 0.13147731859320821, 0.14533185599545762, 0.15031416605167477, 0.16310356295210746, 0.16189068960638625
51, 0.08894844892266383, 0.08615757793403407, 0.0809431519482851, 0.09165890928812943, 0.09134998959793501, 0.09991729564838998, 0.11335007542845986, 0.13075710208179844, 0.1455615565855757, 0.14867800382725493, 0.16217285677229282, 0.1597363785492111
52, 0.08755150197835458, 0.08436677181519109, 0.07797628097829924, 0.0892996074451528, 0.08931361520038307, 0.09995343790591432, 0.11519061244859562, 0.13257850225588766, 0.14513186311281165, 0.14915098256486517, 0.16192782594434893, 0.16260660841012492
53, 0.08441767527655429, 0.08349020941958445, 0.07662747690646068, 0.08794207958410784, 0.08733779053657893, 0.09982538849947946, 0.11517029673800798, 0.1299800253485984, 0.14461227111548627, 0.15014668451424487, 0.16011195560907726, 0.16184212895382014
54, 0.0816729611613284, 0.08023985724370156, 0.07900839494351819, 0.08818329649435715, 0.08604003233000564, 0.10226584060059903, 0.11486385551563684, 0.13136305801143783, 0.1453648471941801, 0.15276535609077443, 0.15973127175204307, 0.15989046328665768
55, 0.07948192993066723, 0.07756689339597769, 0.07385474262505606, 0.08443476460869616, 0.08371397837474627, 0.09870309587556884, 0.12196706696939892, 0.13086282978191563, 0.14883902534486934, 0.1528556546228954, 0.15962795548043343, 0.1604851479132915
56, 0.07720014472089919, 0.07558015063573281, 0.07280837706212641, 0.08250969223778408, 0.08193935581906177, 0.094416360389403, 0.11857655216226276, 0.12894067123333725, 0.15048655879712244, 0.15294256439611859, 0.15770976930680206, 0.16108873633952378
57, 0.07467526952437124, 0.07383745502954955, 0.07392588964956147, 0.08132481275921546, 0.07973558551171968, 0.10099835353667432, 0.11542775602653306, 0.12998276195014327, 0.15140824604899591, 0.15389736843076177, 0.15606567058790172, 0.15885631212367554
58, 0.07256974985933345, 0.07390307402827893, 0.06999218177065829, 0.07970387339573318, 0.0789368428839297, 0.09451947946038741, 0.11583488052333663, 0.13524230962112985, 0.15287742814653507, 0.15128354284574916, 0.15603349130280522, 0.1597802528643182
59, 0.07069947074655415, 0.07049467418251261, 0.06878639407798762, 0.07806705027306926, 0.07767143187331514, 0.10595924549358171, 0.11554004458385954, 0.12918459798200765, 0.1558669729457732, 0.15111364792918544, 0.15679493136810035, 0.15902822525558127
60, 0.06881232496334201, 0.06965194160946556, 0.07037637586027916, 0.07710370296981173, 0.0766087851357035, 0.10018221169552503, 0.11644536741717322, 0.13064273317583347, 0.15616459088448478, 0.1512138992005377, 0.1576863946437951, 0.15878303424902634
